rank,stadium,capacity,region,country,city,images,home_team,location
1,Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/250px-Arirang_Mass_Games_12.JPG,"Korea DPR national football team, Korea DPR women's national football team, April 25","[39.0167979, 125.7473609]"
2,Camp Nou,99354,Europe,Spain,"Barcelona, Catalonia",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/250px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,FC Barcelona,"[41.3825802, 2.177073]"
3,FNB Stadium,94736,Africa,South Africa,"Johannesburg, Gauteng",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/250px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"South Africa national football team, Kaizer Chiefs","[-26.205, 28.049722]"
4,New Admin­is­trative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,Egypt national football team,"[30.023829, 31.7549459]"
5,Wembley Stadium,90000,Europe,England,"London, England",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Post_L2_Play-Off_Final.jpg/250px-Post_L2_Play-Off_Final.jpg,England national football team,"[51.5074456, -0.1277653]"
6,Lusail Stadium,88966,West Asia,Qatar,Lusail,https://upload.wikimedia.org/wikipedia/en/thumb/a/a3/Lusail_Stadium.jpg/250px-Lusail_Stadium.jpg,Qatar national football team,"[25.4228888, 51.5197163]"
7,Estadio Azteca,87523,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/250px-Panor%C3%A1mica_esquina_noreste.jpg,"Club América, Mexico national football team","[19.3207722, -99.1514678]"
8,Bukit Jalil National Stadium,87411,Southeast Asia,Malaysia,Kuala Lumpur,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png/250px-National_Stadium_Bukit_Jalil_2018_AFF_Suzuki_Cup_final.png,Malaysia national football team,"[3.1526589, 101.7022205]"
9,Borg El-Arab Stadium,86000,Africa,Egypt,Alexandria,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Borg_el_arab_stadium.jpg/250px-Borg_el_arab_stadium.jpg,"Egypt national football team, Al Ittihad, Smouha","[31.1991806, 29.8951716]"
10,Estadio Mâs Monumental,85018,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Estadio_Monumental.jpg/250px-Estadio_Monumental.jpg,"Argentina national football team, River Plate","[-34.6095579, -58.3887904]"
11,Salt Lake Stadium,85000,South Asia,India,Kolkata,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg/250px-Salt_Lake_Stadium_during_FIFA_U17_World_Cup_2017_....jpg,"India national football team, Mohun Bagan Super Giant, East Bengal FC, Mohammedan SC","[22.5726459, 88.3638953]"
12,Stadium Australia,83500,Oceania,Australia,"Sydney, New South Wales",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/State_of_Origin_Game_II_2018.jpg/250px-State_of_Origin_Game_II_2018.jpg,"South Sydney Rabbitohs, Canterbury-Bankstown Bulldogs, New South Wales Blues, New South Wales Waratahs, Australia men's national soccer team, Australia national rugby union team","[-33.8698439, 151.2082848]"
13,Estadio Santiago Bernabéu,83186,Europe,Spain,Madrid,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg/250px-Estadio_Santiago_Bernab%C3%A9u_Madrid.jpg,Real Madrid,"[40.416782, -3.703507]"
14,Croke Park,82300,Europe,Ireland,Dublin,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Croke_park_all_ireland.jpg/250px-Croke_park_all_ireland.jpg,"Gaelic Athletic Association, Dublin GAA","[53.3493795, -6.2605593]"
15,Jakarta International Stadium,82000,Southeast Asia,Indonesia,Jakarta,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Jakarta_International_Stadium_interior.jpg/250px-Jakarta_International_Stadium_interior.jpg,"Persija Jakarta, Indonesia national football team","[-6.1754049, 106.827168]"
